package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:00:00.000000000,26,2,R,B,1.0,2.0,1427.0,1239.0,90.0,504.0,180.0,1,True,False,0,False,False
0 days 00:00:00.200000000,26,2,R,B,1.0,2.0,1391.0,1203.0,89.0,521.0,184.0,0,False,False,0,False,False
0 days 00:00:00.400000000,26,2,R,B,1.0,2.0,1390.0,1202.0,88.0,495.0,169.0,0,False,False,0,False,False
0 days 00:00:00.600000000,26,2,R,B,1.0,2.0,1396.0,1208.0,88.0,527.0,182.0,0,False,False,0,False,False
0 days 00:00:00.800000000,26,2,R,B,1.0,2.0,1425.0,1237.0,90.0,522.0,185.0,0,False,False,0,False,False
0 days 00:00:01.000000000,26,2,R,B,1.0,2.0,1372.0,1184.0,89.0,485.0,164.0,0,False,False,0,False,False
0 days 00:00:01.200000000,26,2,R,B,1.0,2.0,1353.0,1165.0,88.0,479.0,175.0,0,False,False,0,False,False
0 days 00:00:01.400000000,26,2,R,B,1.0,2.0,1370.0,1182.0,88.0,507.0,185.0,0,False,False,0,False,False
0 days 00:00:01.600000000,26,2,R,B,1.0,2.0,1307.0,1119.0,84.0,451.0,183.0,0,False,False,0,False,False
0 days 00:00:01.800000000,26,2,R,B,1.0,2.0,1286.0,1098.0,83.0,461.0,183.0,0,False,False,0,False,False
0 days 00:00:02.000000000,26,2,R,B,1.0,2.0,1322.0,1134.0,85.0,476.0,184.0,0,False,False,0,False,False
0 days 00:00:02.200000000,26,2,R,B,1.0,2.0,1365.0,1177.0,87.0,513.0,179.0,0,False,False,0,False,False
0 days 00:00:02.400000000,26,2,R,B,1.0,2.0,1330.0,1142.0,86.0,450.0,173.0,0,False,False,0,False,False
0 days 00:00:02.600000000,26,2,R,B,1.0,2.0,1238.0,1050.0,82.0,439.0,189.0,0,False,False,0,False,False
0 days 00:00:02.800000000,26,2,R,B,1.0,2.0,1271.0,1083.0,83.0,491.0,185.0,0,False,False,0,False,False
0 days 00:00:03.000000000,26,2,R,B,1.0,2.0,1317.0,1129.0,85.0,475.0,181.0,0,False,False,0,False,False
0 days 00:00:03.200000000,26,2,R,B,1.0,2.0,1339.0,1151.0,86.0,517.0,173.0,0,False,False,0,False,False
0 days 00:00:03.400000000,26,2,R,B,1.0,2.0,1388.0,1200.0,89.0,516.0,183.0,0,False,False,0,False,False
0 days 00:00:03.600000000,26,2,R,B,1.0,2.0,1352.0,1164.0,88.0,471.0,181.0,0,False,False,0,False,False
0 days 00:00:03.800000000,26,2,R,B,1.0,2.0,1258.0,1070.0,84.0,447.0,174.0,0,False,False,0,False,False
0 days 00:00:04.000000000,26,2,R,B,1.0,2.0,1209.0,1021.0,82.0,457.0,177.0,0,False,False,0,False,False
0 days 00:00:04.200000000,26,2,R,B,1.0,2.0,1194.0,1006.0,82.0,420.0,178.0,0,False,False,0,False,False
0 days 00:00:04.400000000,26,2,R,B,1.0,2.0,1220.0,1032.0,82.0,428.0,173.0,0,False,False,0,False,False
0 days 00:00:04.600000000,26,2,R,B,1.0,2.0,1237.0,1049.0,83.0,435.0,165.0,0,False,False,0,False,False
0 days 00:00:04.800000000,26,2,R,B,1.0,2.0,1184.0,996.0,82.0,420.0,179.0,0,False,False,0,False,False
0 days 00:00:05.000000000,26,2,R,B,1.0,2.0,1170.0,982.0,82.0,443.0,168.0,0,False,False,0,False,False
0 days 00:00:05.200000000,26,2,R,B,1.0,2.0,1200.0,1012.0,82.0,448.0,174.0,0,False,False,0,False,False
0 days 00:00:05.400000000,26,2,R,B,1.0,2.0,1228.0,1040.0,84.0,466.0,174.0,0,False,False,0,False,False
0 days 00:00:05.600000000,26,2,R,B,1.0,2.0,1249.0,1061.0,86.0,475.0,187.0,0,False,False,0,False,False
0 days 00:00:05.800000000,26,2,R,B,1.0,2.0,1271.0,1083.0,86.0,466.0,169.0,0,False,False,0,False,False
0 days 00:00:06.000000000,26,2,R,B,1.0,2.0,1253.0,1065.0,85.0,460.0,174.0,0,False,False,0,False,False
0 days 00:00:06.200000000,26,2,R,B,1.0,2.0,1195.0,1007.0,83.0,432.0,174.0,0,False,False,0,False,False
0 days 00:00:06.400000000,26,2,R,B,1.0,2.0,1238.0,1050.0,84.0,493.0,171.0,0,False,False,0,False,False
0 days 00:00:06.600000000,26,2,R,B,1.0,2.0,1190.0,1002.0,82.0,404.0,163.0,0,False,False,0,False,False
0 days 00:00:06.800000000,26,2,R,B,1.0,2.0,1087.0,899.0,78.0,413.0,174.0,0,False,False,0,False,False
0 days 00:00:07.000000000,26,2,R,B,1.0,2.0,1159.0,971.0,81.0,438.0,175.0,0,False,False,0,False,False
0 days 00:00:07.200000000,26,2,R,B,1.0,2.0,1208.0,1020.0,83.0,460.0,178.0,0,False,False,0,False,False
0 days 00:00:07.400000000,26,2,R,B,1.0,2.0,1144.0,956.0,80.0,403.0,173.0,0,False,False,0,False,False
0 days 00:00:07.600000000,26,2,R,B,1.0,2.0,1124.0,936.0,80.0,426.0,174.0,0,False,False,0,False,False
0 days 00:00:07.800000000,26,2,R,B,1.0,2.0,1166.0,978.0,82.0,440.0,158.0,0,False,False,0,False,False
0 days 00:00:08.000000000,26,2,R,B,1.0,2.0,1179.0,991.0,83.0,454.0,168.0,0,False,False,0,False,False
0 days 00:00:08.200000000,26,2,R,B,1.0,2.0,1192.0,1004.0,82.0,443.0,171.0,0,False,False,0,False,False
0 days 00:00:08.400000000,26,2,R,B,1.0,2.0,1181.0,993.0,81.0,414.0,178.0,0,False,False,0,False,False
0 days 00:00:08.600000000,26,2,R,B,1.0,2.0,1133.0,945.0,81.0,441.0,163.0,0,False,False,0,False,False
0 days 00:00:08.800000000,26,2,R,B,1.0,2.0,1116.0,928.0,80.0,409.0,176.0,0,False,False,0,False,False
0 days 00:00:09.000000000,26,2,R,B,1.0,2.0,1149.0,961.0,81.0,451.0,172.0,0,False,False,0,False,False
0 days 00:00:09.200000000,26,2,R,B,1.0,2.0,1101.0,913.0,79.0,396.0,160.0,0,False,False,0,False,False
0 days 00:00:09.400000000,26,2,R,B,1.0,2.0,1085.0,897.0,78.0,444.0,166.0,0,False,False,0,False,False
0 days 00:00:09.600000000,26,2,R,B,1.0,2.0,1165.0,977.0,81.0,423.0,172.0,0,False,False,0,False,False
0 days 00:00:09.800000000,26,2,R,B,1.0,2.0,1186.0,998.0,82.0,450.0,178.0,0,False,False,0,False,False
0 days 00:00:10.000000000,26,2,R,B,1.0,2.0,1181.0,993.0,82.0,426.0,168.0,0,False,False,0,False,False
0 days 00:00:10.200000000,26,2,R,B,1.0,2.0,1157.0,969.0,81.0,426.0,172.0,0,False,False,0,False,False
0 days 00:00:10.400000000,26,2,R,B,1.0,2.0,1143.0,955.0,82.0,433.0,163.0,0,False,False,0,False,False
0 days 00:00:10.600000000,26,2,R,B,1.0,2.0,1183.0,995.0,83.0,465.0,183.0,0,False,False,0,False,False
0 days 00:00:10.800000000,26,2,R,B,1.0,2.0,1231.0,1043.0,85.0,475.0,179.0,0,False,False,0,False,False
0 days 00:00:11.000000000,26,2,R,B,1.0,2.0,1235.0,1047.0,85.0,450.0,173.0,0,False,False,0,False,False
0 days 00:00:11.200000000,26,2,R,B,1.0,2.0,1204.0,1016.0,84.0,455.0,179.0,0,False,False,0,False,False
0 days 00:00:11.400000000,26,2,R,B,1.0,2.0,1152.0,964.0,82.0,415.0,179.0,0,False,False,0,False,False
0 days 00:00:11.600000000,26,2,R,B,1.0,2.0,1116.0,928.0,81.0,447.0,175.0,0,False,False,0,False,False
0 days 00:00:11.800000000,26,2,R,B,1.0,2.0,1060.0,872.0,79.0,372.0,169.0,0,False,False,0,False,False
0 days 00:00:12.000000000,26,2,R,B,1.0,2.0,1062.0,874.0,78.0,426.0,180.0,0,False,False,0,False,False
0 days 00:00:12.200000000,26,2,R,B,1.0,2.0,1111.0,923.0,79.0,399.0,170.0,0,False,False,0,False,False
0 days 00:00:12.400000000,26,2,R,B,1.0,2.0,1083.0,895.0,78.0,411.0,168.0,0,False,False,0,False,False
0 days 00:00:12.600000000,26,2,R,B,1.0,2.0,1092.0,904.0,79.0,433.0,172.0,0,False,False,0,False,False
0 days 00:00:12.800000000,26,2,R,B,1.0,2.0,1135.0,947.0,81.0,438.0,182.0,0,False,False,0,False,False
0 days 00:00:13.000000000,26,2,R,B,1.0,2.0,1194.0,1006.0,84.0,449.0,174.0,0,False,False,0,False,False
0 days 00:00:13.200000000,26,2,R,B,1.0,2.0,1211.0,1023.0,85.0,454.0,172.0,0,False,False,0,False,False
0 days 00:00:13.400000000,26,2,R,B,1.0,2.0,1184.0,996.0,83.0,450.0,181.0,0,False,False,0,False,False
0 days 00:00:13.600000000,26,2,R,B,1.0,2.0,1168.0,980.0,83.0,423.0,168.0,0,False,False,0,False,False
0 days 00:00:13.800000000,26,2,R,B,1.0,2.0,1138.0,950.0,82.0,416.0,171.0,0,False,False,0,False,False
0 days 00:00:14.000000000,26,2,R,B,1.0,2.0,1136.0,948.0,80.0,426.0,176.0,0,False,False,0,False,False
0 days 00:00:14.200000000,26,2,R,B,1.0,2.0,1114.0,926.0,80.0,413.0,169.0,0,False,False,0,False,False
0 days 00:00:14.400000000,26,2,R,B,1.0,2.0,1069.0,881.0,79.0,425.0,172.0,0,False,False,0,False,False
0 days 00:00:14.600000000,26,2,R,B,1.0,2.0,1073.0,885.0,79.0,423.0,171.0,0,False,False,0,False,False
0 days 00:00:14.800000000,26,2,R,B,1.0,2.0,1097.0,909.0,81.0,427.0,170.0,0,False,False,0,False,False
0 days 00:00:15.000000000,26,2,R,B,1.0,2.0,1098.0,910.0,81.0,410.0,164.0,0,False,False,0,False,False
0 days 00:00:15.200000000,26,2,R,B,1.0,2.0,1095.0,907.0,82.0,396.0,155.0,0,False,False,0,False,False
0 days 00:00:15.400000000,26,2,R,B,1.0,2.0,1074.0,886.0,81.0,403.0,168.0,0,False,False,0,False,False
0 days 00:00:15.600000000,26,2,R,B,1.0,2.0,1069.0,881.0,81.0,422.0,172.0,0,False,False,0,False,False
0 days 00:00:15.800000000,26,2,R,B,1.0,2.0,1094.0,906.0,82.0,425.0,165.0,0,False,False,0,False,False
0 days 00:00:16.000000000,26,2,R,B,1.0,2.0,1089.0,901.0,82.0,407.0,172.0,0,False,False,0,False,False
