package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:00:00.000000000,26,2,L,D,1.0,2.0,1210.0,1632.0,264.0,445.0,185.0,1,True,False,0,False,False
0 days 00:00:00.200000000,26,2,L,D,1.0,2.0,1192.0,1614.0,263.0,420.0,176.0,0,False,False,0,False,False
0 days 00:00:00.400000000,26,2,L,D,1.0,2.0,1172.0,1594.0,262.0,420.0,185.0,0,False,False,0,False,False
0 days 00:00:00.600000000,26,2,L,D,1.0,2.0,1206.0,1628.0,265.0,448.0,181.0,0,False,False,0,False,False
0 days 00:00:00.800000000,26,2,L,D,1.0,2.0,1226.0,1648.0,265.0,451.0,179.0,0,False,False,0,False,False
0 days 00:00:01.000000000,26,2,L,D,1.0,2.0,1176.0,1598.0,262.0,398.0,170.0,0,False,False,0,False,False
0 days 00:00:01.200000000,26,2,L,D,1.0,2.0,1093.0,1515.0,258.0,390.0,172.0,0,False,False,0,False,False
0 days 00:00:01.400000000,26,2,L,D,1.0,2.0,1073.0,1495.0,258.0,395.0,173.0,0,False,False,0,False,False
0 days 00:00:01.600000000,26,2,L,D,1.0,2.0,1092.0,1514.0,258.0,400.0,173.0,0,False,False,0,False,False
0 days 00:00:01.800000000,26,2,L,D,1.0,2.0,1121.0,1543.0,259.0,437.0,175.0,0,False,False,0,False,False
0 days 00:00:02.000000000,26,2,L,D,1.0,2.0,1123.0,1545.0,259.0,403.0,182.0,0,False,False,0,False,False
0 days 00:00:02.200000000,26,2,L,D,1.0,2.0,1054.0,1476.0,256.0,362.0,176.0,0,False,False,0,False,False
0 days 00:00:02.400000000,26,2,L,D,1.0,2.0,1050.0,1472.0,255.0,402.0,174.0,0,False,False,0,False,False
0 days 00:00:02.600000000,26,2,L,D,1.0,2.0,1072.0,1494.0,256.0,397.0,181.0,0,False,False,0,False,False
0 days 00:00:02.800000000,26,2,L,D,1.0,2.0,1064.0,1486.0,256.0,385.0,175.0,0,False,False,0,False,False
0 days 00:00:03.000000000,26,2,L,D,1.0,2.0,1068.0,1490.0,256.0,404.0,169.0,0,False,False,0,False,False
0 days 00:00:03.200000000,26,2,L,D,1.0,2.0,1093.0,1515.0,257.0,417.0,175.0,0,False,False,0,False,False
0 days 00:00:03.400000000,26,2,L,D,1.0,2.0,1100.0,1522.0,258.0,406.0,172.0,0,False,False,0,False,False
0 days 00:00:03.600000000,26,2,L,D,1.0,2.0,1112.0,1534.0,259.0,427.0,172.0,0,False,False,0,False,False
0 days 00:00:03.800000000,26,2,L,D,1.0,2.0,1123.0,1545.0,259.0,423.0,170.0,0,False,False,0,False,False
0 days 00:00:04.000000000,26,2,L,D,1.0,2.0,1086.0,1508.0,257.0,389.0,175.0,0,False,False,0,False,False
0 days 00:00:04.200000000,26,2,L,D,1.0,2.0,1098.0,1520.0,258.0,442.0,163.0,0,False,False,0,False,False
0 days 00:00:04.400000000,26,2,L,D,1.0,2.0,1131.0,1553.0,261.0,420.0,175.0,0,False,False,0,False,False
0 days 00:00:04.600000000,26,2,L,D,1.0,2.0,1099.0,1521.0,259.0,400.0,169.0,0,False,False,0,False,False
0 days 00:00:04.800000000,26,2,L,D,1.0,2.0,1053.0,1475.0,256.0,377.0,169.0,0,False,False,0,False,False
0 days 00:00:05.000000000,26,2,L,D,1.0,2.0,1038.0,1460.0,255.0,387.0,175.0,0,False,False,0,False,False
0 days 00:00:05.200000000,26,2,L,D,1.0,2.0,1044.0,1466.0,255.0,392.0,172.0,0,False,False,0,False,False
0 days 00:00:05.400000000,26,2,L,D,1.0,2.0,1045.0,1467.0,256.0,385.0,174.0,0,False,False,0,False,False
0 days 00:00:05.600000000,26,2,L,D,1.0,2.0,1056.0,1478.0,257.0,394.0,169.0,0,False,False,0,False,False
0 days 00:00:05.800000000,26,2,L,D,1.0,2.0,1072.0,1494.0,257.0,413.0,176.0,0,False,False,0,False,False
0 days 00:00:06.000000000,26,2,L,D,1.0,2.0,1073.0,1495.0,258.0,398.0,182.0,0,False,False,0,False,False
0 days 00:00:06.200000000,26,2,L,D,1.0,2.0,1061.0,1483.0,257.0,421.0,174.0,0,False,False,0,False,False
0 days 00:00:06.400000000,26,2,L,D,1.0,2.0,1043.0,1465.0,255.0,380.0,157.0,0,False,False,0,False,False
0 days 00:00:06.600000000,26,2,L,D,1.0,2.0,1037.0,1459.0,255.0,401.0,175.0,0,False,False,0,False,False
0 days 00:00:06.800000000,26,2,L,D,1.0,2.0,1029.0,1451.0,255.0,392.0,169.0,0,False,False,0,False,False
0 days 00:00:07.000000000,26,2,L,D,1.0,2.0,1023.0,1445.0,254.0,395.0,172.0,0,False,False,0,False,False
0 days 00:00:07.200000000,26,2,L,D,1.0,2.0,1012.0,1434.0,254.0,373.0,167.0,0,False,False,0,False,False
0 days 00:00:07.400000000,26,2,L,D,1.0,2.0,986.0,1408.0,253.0,352.0,166.0,0,False,False,0,False,False
0 days 00:00:07.600000000,26,2,L,D,1.0,2.0,1006.0,1428.0,254.0,370.0,171.0,0,False,False,0,False,False
0 days 00:00:07.800000000,26,2,L,D,1.0,2.0,1028.0,1450.0,255.0,406.0,173.0,0,False,False,0,False,False
0 days 00:00:08.000000000,26,2,L,D,1.0,2.0,1051.0,1473.0,256.0,402.0,176.0,0,False,False,0,False,False
0 days 00:00:08.200000000,26,2,L,D,1.0,2.0,1055.0,1477.0,257.0,385.0,171.0,0,False,False,0,False,False
0 days 00:00:08.400000000,26,2,L,D,1.0,2.0,1038.0,1460.0,256.0,398.0,165.0,0,False,False,0,False,False
0 days 00:00:08.600000000,26,2,L,D,1.0,2.0,1026.0,1448.0,255.0,384.0,168.0,0,False,False,0,False,False
0 days 00:00:08.800000000,26,2,L,D,1.0,2.0,1033.0,1455.0,256.0,393.0,162.0,0,False,False,0,False,False
0 days 00:00:09.000000000,26,2,L,D,1.0,2.0,1038.0,1460.0,256.0,396.0,171.0,0,False,False,0,False,False
0 days 00:00:09.200000000,26,2,L,D,1.0,2.0,1021.0,1443.0,255.0,386.0,166.0,0,False,False,0,False,False
0 days 00:00:09.400000000,26,2,L,D,1.0,2.0,1017.0,1439.0,255.0,387.0,169.0,0,False,False,0,False,False
0 days 00:00:09.600000000,26,2,L,D,1.0,2.0,1005.0,1427.0,254.0,382.0,167.0,0,False,False,0,False,False
0 days 00:00:09.800000000,26,2,L,D,1.0,2.0,971.0,1393.0,252.0,358.0,178.0,0,False,False,0,False,False
0 days 00:00:10.000000000,26,2,L,D,1.0,2.0,951.0,1373.0,251.0,358.0,167.0,0,False,False,0,False,False
0 days 00:00:10.200000000,26,2,L,D,1.0,2.0,972.0,1394.0,252.0,382.0,157.0,0,False,False,0,False,False
0 days 00:00:10.400000000,26,2,L,D,1.0,2.0,995.0,1417.0,254.0,385.0,181.0,0,False,False,0,False,False
0 days 00:00:10.600000000,26,2,L,D,1.0,2.0,1019.0,1441.0,256.0,392.0,164.0,0,False,False,0,False,False
0 days 00:00:10.800000000,26,2,L,D,1.0,2.0,1041.0,1463.0,257.0,384.0,169.0,0,False,False,0,False,False
0 days 00:00:11.000000000,26,2,L,D,1.0,2.0,1045.0,1467.0,257.0,396.0,165.0,0,False,False,0,False,False
0 days 00:00:11.200000000,26,2,L,D,1.0,2.0,1056.0,1478.0,257.0,406.0,171.0,0,False,False,0,False,False
0 days 00:00:11.400000000,26,2,L,D,1.0,2.0,1082.0,1504.0,259.0,413.0,169.0,0,False,False,0,False,False
0 days 00:00:11.600000000,26,2,L,D,1.0,2.0,1082.0,1504.0,259.0,418.0,180.0,0,False,False,0,False,False
0 days 00:00:11.800000000,26,2,L,D,1.0,2.0,1072.0,1494.0,258.0,409.0,174.0,0,False,False,0,False,False
0 days 00:00:12.000000000,26,2,L,D,1.0,2.0,1101.0,1523.0,260.0,448.0,179.0,0,False,False,0,False,False
0 days 00:00:12.200000000,26,2,L,D,1.0,2.0,1085.0,1507.0,259.0,391.0,176.0,0,False,False,0,False,False
0 days 00:00:12.400000000,26,2,L,D,1.0,2.0,1045.0,1467.0,256.0,387.0,175.0,0,False,False,0,False,False
0 days 00:00:12.600000000,26,2,L,D,1.0,2.0,1062.0,1484.0,258.0,407.0,168.0,0,False,False,0,False,False
0 days 00:00:12.800000000,26,2,L,D,1.0,2.0,1079.0,1501.0,258.0,407.0,173.0,0,False,False,0,False,False
0 days 00:00:13.000000000,26,2,L,D,1.0,2.0,1063.0,1485.0,258.0,399.0,179.0,0,False,False,0,False,False
0 days 00:00:13.200000000,26,2,L,D,1.0,2.0,1061.0,1483.0,258.0,413.0,177.0,0,False,False,0,False,False
0 days 00:00:13.400000000,26,2,L,D,1.0,2.0,1087.0,1509.0,259.0,426.0,181.0,0,False,False,0,False,False
0 days 00:00:13.600000000,26,2,L,D,1.0,2.0,1108.0,1530.0,260.0,430.0,173.0,0,False,False,0,False,False
0 days 00:00:13.800000000,26,2,L,D,1.0,2.0,1101.0,1523.0,260.0,429.0,184.0,0,False,False,0,False,False
0 days 00:00:14.000000000,26,2,L,D,1.0,2.0,1081.0,1503.0,259.0,419.0,181.0,0,False,False,0,False,False
0 days 00:00:14.200000000,26,2,L,D,1.0,2.0,1055.0,1477.0,258.0,396.0,164.0,0,False,False,0,False,False
0 days 00:00:14.400000000,26,2,L,D,1.0,2.0,1060.0,1482.0,258.0,440.0,178.0,0,False,False,0,False,False
0 days 00:00:14.600000000,26,2,L,D,1.0,2.0,1062.0,1484.0,258.0,401.0,174.0,0,False,False,0,False,False
0 days 00:00:14.800000000,26,2,L,D,1.0,2.0,1023.0,1445.0,256.0,373.0,178.0,0,False,False,0,False,False
0 days 00:00:15.000000000,26,2,L,D,1.0,2.0,1018.0,1440.0,255.0,397.0,176.0,0,False,False,0,False,False
0 days 00:00:15.200000000,26,2,L,D,1.0,2.0,1022.0,1444.0,256.0,382.0,175.0,0,False,False,0,False,False
0 days 00:00:15.400000000,26,2,L,D,1.0,2.0,1012.0,1434.0,255.0,375.0,179.0,0,False,False,0,False,False
0 days 00:00:15.600000000,26,2,L,D,1.0,2.0,1016.0,1438.0,256.0,385.0,153.0,0,False,False,0,False,False
0 days 00:00:15.800000000,26,2,L,D,1.0,2.0,1039.0,1461.0,257.0,391.0,178.0,0,False,False,0,False,False
0 days 00:00:16.000000000,26,2,L,D,1.0,2.0,1084.0,1506.0,260.0,441.0,163.0,0,False,False,0,False,False
0 days 00:00:16.200000000,26,2,L,D,1.0,2.0,1114.0,1536.0,261.0,431.0,177.0,0,False,False,0,False,False
0 days 00:00:16.400000000,26,2,L,D,1.0,2.0,1116.0,1538.0,261.0,420.0,178.0,0,False,False,0,False,False
0 days 00:00:16.600000000,26,2,L,D,1.0,2.0,1114.0,1536.0,261.0,442.0,176.0,0,False,False,0,False,False
0 days 00:00:16.800000000,26,2,L,D,1.0,2.0,1102.0,1524.0,261.0,421.0,164.0,0,False,False,0,False,False
0 days 00:00:17.000000000,26,2,L,D,1.0,2.0,1100.0,1522.0,261.0,437.0,182.0,0,False,False,0,False,False
0 days 00:00:17.200000000,26,2,L,D,1.0,2.0,1097.0,1519.0,261.0,420.0,171.0,0,False,False,0,False,False
0 days 00:00:17.400000000,26,2,L,D,1.0,2.0,1084.0,1506.0,260.0,416.0,176.0,0,False,False,0,False,False
0 days 00:00:17.600000000,26,2,L,D,1.0,2.0,1073.0,1495.0,259.0,407.0,172.0,0,False,False,0,False,False
0 days 00:00:17.800000000,26,2,L,D,1.0,2.0,1076.0,1498.0,259.0,405.0,186.0,0,False,False,0,False,False
0 days 00:00:18.000000000,26,2,L,D,1.0,2.0,1073.0,1495.0,259.0,406.0,168.0,0,False,False,0,False,False
0 days 00:00:18.200000000,26,2,L,D,1.0,2.0,1062.0,1484.0,259.0,401.0,171.0,0,False,False,0,False,False
0 days 00:00:18.400000000,26,2,L,D,1.0,2.0,1069.0,1491.0,259.0,410.0,181.0,0,False,False,0,False,False
0 days 00:00:18.600000000,26,2,L,D,1.0,2.0,1085.0,1507.0,260.0,404.0,171.0,0,False,False,0,False,False
0 days 00:00:18.800000000,26,2,L,D,1.0,2.0,1092.0,1514.0,260.0,414.0,174.0,0,False,False,0,False,False
0 days 00:00:19.000000000,26,2,L,D,1.0,2.0,1088.0,1510.0,260.0,434.0,172.0,0,False,False,0,False,False
0 days 00:00:19.200000000,26,2,L,D,1.0,2.0,1060.0,1482.0,258.0,397.0,173.0,0,False,False,0,False,False
0 days 00:00:19.400000000,26,2,L,D,1.0,2.0,1049.0,1471.0,257.0,419.0,180.0,0,False,False,0,False,False
0 days 00:00:19.600000000,26,2,L,D,1.0,2.0,1080.0,1502.0,259.0,425.0,173.0,0,False,False,0,False,False
0 days 00:00:19.800000000,26,2,L,D,1.0,2.0,1087.0,1509.0,260.0,416.0,174.0,0,False,False,0,False,False
0 days 00:00:20.000000000,26,2,L,D,1.0,2.0,1071.0,1493.0,259.0,408.0,180.0,0,False,False,0,False,False
0 days 00:00:20.200000000,26,2,L,D,1.0,2.0,1063.0,1485.0,258.0,402.0,178.0,0,False,False,0,False,False
0 days 00:00:20.400000000,26,2,L,D,1.0,2.0,1066.0,1488.0,259.0,394.0,176.0,0,False,False,0,False,False
0 days 00:00:20.600000000,26,2,L,D,1.0,2.0,1084.0,1506.0,259.0,427.0,170.0,0,False,False,0,False,False
0 days 00:00:20.800000000,26,2,L,D,1.0,2.0,1091.0,1513.0,261.0,413.0,181.0,0,False,False,0,False,False
