package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:00:00.000000000,26,1,L,D,1.0,2.0,279.0,555.0,114.0,231.0,61.0,1,True,False,0,False,False
0 days 00:00:00.200000000,26,1,L,D,1.0,2.0,258.0,534.0,112.0,226.0,57.0,0,False,False,0,False,False
0 days 00:00:00.400000000,26,1,L,D,1.0,2.0,253.0,529.0,112.0,223.0,58.0,0,False,False,0,False,False
0 days 00:00:00.600000000,26,1,L,D,1.0,2.0,297.0,573.0,115.0,243.0,68.0,0,False,False,0,False,False
0 days 00:00:00.800000000,26,1,L,D,1.0,2.0,336.0,612.0,118.0,243.0,100.0,0,False,False,0,False,False
0 days 00:00:01.000000000,26,1,L,D,1.0,2.0,340.0,616.0,118.0,244.0,98.0,0,False,False,0,False,False
0 days 00:00:01.200000000,26,1,L,D,1.0,2.0,347.0,623.0,118.0,247.0,103.0,0,False,False,0,False,False
0 days 00:00:01.400000000,26,1,L,D,1.0,2.0,356.0,632.0,119.0,248.0,104.0,0,False,False,0,False,False
0 days 00:00:01.600000000,26,1,L,D,1.0,2.0,348.0,624.0,118.0,240.0,100.0,0,False,False,0,False,False
0 days 00:00:01.800000000,26,1,L,D,1.0,2.0,343.0,619.0,118.0,247.0,104.0,0,False,False,0,False,False
0 days 00:00:02.000000000,26,1,L,D,1.0,2.0,346.0,622.0,117.0,249.0,100.0,0,False,False,0,False,False
0 days 00:00:02.200000000,26,1,L,D,1.0,2.0,347.0,623.0,117.0,247.0,93.0,0,False,False,0,False,False
0 days 00:00:02.400000000,26,1,L,D,1.0,2.0,352.0,628.0,117.0,261.0,105.0,0,False,False,0,False,False
0 days 00:00:02.600000000,26,1,L,D,1.0,2.0,344.0,620.0,117.0,239.0,93.0,0,False,False,0,False,False
0 days 00:00:02.800000000,26,1,L,D,1.0,2.0,338.0,614.0,116.0,248.0,109.0,0,False,False,0,False,False
0 days 00:00:03.000000000,26,1,L,D,1.0,2.0,342.0,618.0,115.0,247.0,114.0,0,False,False,0,False,False
0 days 00:00:03.200000000,26,1,L,D,1.0,2.0,349.0,625.0,115.0,256.0,86.0,0,False,False,0,False,False
0 days 00:00:03.400000000,26,1,L,D,1.0,2.0,359.0,635.0,116.0,246.0,108.0,0,False,False,0,False,False
0 days 00:00:03.600000000,26,1,L,D,1.0,2.0,359.0,635.0,116.0,250.0,96.0,0,False,False,0,False,False
0 days 00:00:03.800000000,26,1,L,D,1.0,2.0,360.0,636.0,116.0,252.0,108.0,0,False,False,0,False,False
