package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:00:00.000000000,26,1,L,A,1.0,2.0,888.0,1101.0,212.0,371.0,175.0,1,True,False,0,False,False
0 days 00:00:00.200000000,26,1,L,A,1.0,2.0,907.0,1120.0,214.0,407.0,178.0,0,False,False,0,False,False
0 days 00:00:00.400000000,26,1,L,A,1.0,2.0,988.0,1201.0,218.0,477.0,174.0,0,False,False,0,False,False
0 days 00:00:00.600000000,26,1,L,A,1.0,2.0,1034.0,1247.0,221.0,486.0,169.0,0,False,False,0,False,False
0 days 00:00:00.800000000,26,1,L,A,1.0,2.0,932.0,1145.0,215.0,335.0,169.0,0,False,False,0,False,False
0 days 00:00:01.000000000,26,1,L,A,1.0,2.0,854.0,1067.0,210.0,369.0,186.0,0,False,False,0,False,False
0 days 00:00:01.200000000,26,1,L,A,1.0,2.0,893.0,1106.0,213.0,392.0,179.0,0,False,False,0,False,False
0 days 00:00:01.400000000,26,1,L,A,1.0,2.0,914.0,1127.0,214.0,409.0,180.0,0,False,False,0,False,False
0 days 00:00:01.600000000,26,1,L,A,1.0,2.0,892.0,1105.0,213.0,370.0,180.0,0,False,False,0,False,False
0 days 00:00:01.800000000,26,1,L,A,1.0,2.0,868.0,1081.0,211.0,359.0,176.0,0,False,False,0,False,False
0 days 00:00:02.000000000,26,1,L,A,1.0,2.0,883.0,1096.0,212.0,384.0,185.0,0,False,False,0,False,False
0 days 00:00:02.200000000,26,1,L,A,1.0,2.0,902.0,1115.0,213.0,383.0,175.0,0,False,False,0,False,False
0 days 00:00:02.400000000,26,1,L,A,1.0,2.0,933.0,1146.0,215.0,422.0,183.0,0,False,False,0,False,False
0 days 00:00:02.600000000,26,1,L,A,1.0,2.0,949.0,1162.0,216.0,404.0,181.0,0,False,False,0,False,False
0 days 00:00:02.800000000,26,1,L,A,1.0,2.0,964.0,1177.0,218.0,441.0,175.0,0,False,False,0,False,False
0 days 00:00:03.000000000,26,1,L,A,1.0,2.0,1030.0,1243.0,221.0,491.0,182.0,0,False,False,0,False,False
0 days 00:00:03.200000000,26,1,L,A,1.0,2.0,1038.0,1251.0,222.0,462.0,179.0,0,False,False,0,False,False
0 days 00:00:03.400000000,26,1,L,A,1.0,2.0,968.0,1181.0,218.0,412.0,181.0,0,False,False,0,False,False
0 days 00:00:03.600000000,26,1,L,A,1.0,2.0,913.0,1126.0,215.0,395.0,170.0,0,False,False,0,False,False
0 days 00:00:03.800000000,26,1,L,A,1.0,2.0,857.0,1070.0,211.0,346.0,164.0,0,False,False,0,False,False
0 days 00:00:04.000000000,26,1,L,A,1.0,2.0,807.0,1020.0,208.0,331.0,179.0,0,False,False,0,False,False
0 days 00:00:04.200000000,26,1,L,A,1.0,2.0,810.0,1023.0,208.0,359.0,179.0,0,False,False,0,False,False
0 days 00:00:04.400000000,26,1,L,A,1.0,2.0,850.0,1063.0,211.0,376.0,181.0,0,False,False,0,False,False
0 days 00:00:04.600000000,26,1,L,A,1.0,2.0,881.0,1094.0,213.0,389.0,180.0,0,False,False,0,False,False
0 days 00:00:04.800000000,26,1,L,A,1.0,2.0,930.0,1143.0,216.0,429.0,168.0,0,False,False,0,False,False
0 days 00:00:05.000000000,26,1,L,A,1.0,2.0,951.0,1164.0,217.0,411.0,178.0,0,False,False,0,False,False
0 days 00:00:05.200000000,26,1,L,A,1.0,2.0,885.0,1098.0,213.0,367.0,166.0,0,False,False,0,False,False
0 days 00:00:05.400000000,26,1,L,A,1.0,2.0,827.0,1040.0,210.0,346.0,176.0,0,False,False,0,False,False
0 days 00:00:05.600000000,26,1,L,A,1.0,2.0,886.0,1099.0,213.0,431.0,180.0,0,False,False,0,False,False
0 days 00:00:05.800000000,26,1,L,A,1.0,2.0,903.0,1116.0,215.0,356.0,177.0,0,False,False,0,False,False
0 days 00:00:06.000000000,26,1,L,A,1.0,2.0,854.0,1067.0,212.0,383.0,180.0,0,False,False,0,False,False
0 days 00:00:06.200000000,26,1,L,A,1.0,2.0,866.0,1079.0,213.0,384.0,176.0,0,False,False,0,False,False
0 days 00:00:06.400000000,26,1,L,A,1.0,2.0,830.0,1043.0,211.0,346.0,172.0,0,False,False,0,False,False
0 days 00:00:06.600000000,26,1,L,A,1.0,2.0,810.0,1023.0,209.0,358.0,170.0,0,False,False,0,False,False
0 days 00:00:06.800000000,26,1,L,A,1.0,2.0,854.0,1067.0,212.0,398.0,176.0,0,False,False,0,False,False
0 days 00:00:07.000000000,26,1,L,A,1.0,2.0,918.0,1131.0,216.0,433.0,176.0,0,False,False,0,False,False
0 days 00:00:07.200000000,26,1,L,A,1.0,2.0,942.0,1155.0,217.0,410.0,185.0,0,False,False,0,False,False
0 days 00:00:07.400000000,26,1,L,A,1.0,2.0,939.0,1152.0,216.0,413.0,180.0,0,False,False,0,False,False
0 days 00:00:07.600000000,26,1,L,A,1.0,2.0,914.0,1127.0,215.0,374.0,173.0,0,False,False,0,False,False
0 days 00:00:07.800000000,26,1,L,A,1.0,2.0,898.0,1111.0,214.0,402.0,183.0,0,False,False,0,False,False
0 days 00:00:08.000000000,26,1,L,A,1.0,2.0,902.0,1115.0,215.0,384.0,181.0,0,False,False,0,False,False
0 days 00:00:08.200000000,26,1,L,A,1.0,2.0,934.0,1147.0,217.0,457.0,170.0,0,False,False,0,False,False
0 days 00:00:08.400000000,26,1,L,A,1.0,2.0,931.0,1144.0,217.0,400.0,182.0,0,False,False,0,False,False
0 days 00:00:08.600000000,26,1,L,A,1.0,2.0,853.0,1066.0,213.0,358.0,170.0,0,False,False,0,False,False
0 days 00:00:08.800000000,26,1,L,A,1.0,2.0,800.0,1013.0,210.0,344.0,179.0,0,False,False,0,False,False
0 days 00:00:09.000000000,26,1,L,A,1.0,2.0,774.0,987.0,208.0,329.0,167.0,0,False,False,0,False,False
0 days 00:00:09.200000000,26,1,L,A,1.0,2.0,746.0,959.0,207.0,316.0,165.0,0,False,False,0,False,False
0 days 00:00:09.400000000,26,1,L,A,1.0,2.0,767.0,980.0,208.0,356.0,170.0,0,False,False,0,False,False
0 days 00:00:09.600000000,26,1,L,A,1.0,2.0,908.0,1121.0,216.0,470.0,171.0,0,False,False,0,False,False
0 days 00:00:09.800000000,26,1,L,A,1.0,2.0,1003.0,1216.0,221.0,477.0,172.0,0,False,False,0,False,False
0 days 00:00:10.000000000,26,1,L,A,1.0,2.0,965.0,1178.0,219.0,426.0,168.0,0,False,False,0,False,False
0 days 00:00:10.200000000,26,1,L,A,1.0,2.0,870.0,1083.0,214.0,344.0,172.0,0,False,False,0,False,False
0 days 00:00:10.400000000,26,1,L,A,1.0,2.0,795.0,1008.0,209.0,331.0,174.0,0,False,False,0,False,False
0 days 00:00:10.600000000,26,1,L,A,1.0,2.0,838.0,1051.0,211.0,407.0,184.0,0,False,False,0,False,False
0 days 00:00:10.800000000,26,1,L,A,1.0,2.0,926.0,1139.0,218.0,450.0,171.0,0,False,False,0,False,False
0 days 00:00:11.000000000,26,1,L,A,1.0,2.0,912.0,1125.0,217.0,380.0,176.0,0,False,False,0,False,False
0 days 00:00:11.200000000,26,1,L,A,1.0,2.0,865.0,1078.0,214.0,380.0,175.0,0,False,False,0,False,False
0 days 00:00:11.400000000,26,1,L,A,1.0,2.0,847.0,1060.0,213.0,366.0,166.0,0,False,False,0,False,False
0 days 00:00:11.600000000,26,1,L,A,1.0,2.0,816.0,1029.0,211.0,362.0,173.0,0,False,False,0,False,False
0 days 00:00:11.800000000,26,1,L,A,1.0,2.0,790.0,1003.0,210.0,346.0,166.0,0,False,False,0,False,False
0 days 00:00:12.000000000,26,1,L,A,1.0,2.0,800.0,1013.0,211.0,357.0,185.0,0,False,False,0,False,False
0 days 00:00:12.200000000,26,1,L,A,1.0,2.0,869.0,1082.0,214.0,401.0,179.0,0,False,False,0,False,False
0 days 00:00:12.400000000,26,1,L,A,1.0,2.0,934.0,1147.0,218.0,452.0,173.0,0,False,False,0,False,False
0 days 00:00:12.600000000,26,1,L,A,1.0,2.0,936.0,1149.0,218.0,399.0,180.0,0,False,False,0,False,False
0 days 00:00:12.800000000,26,1,L,A,1.0,2.0,890.0,1103.0,216.0,392.0,175.0,0,False,False,0,False,False
0 days 00:00:13.000000000,26,1,L,A,1.0,2.0,861.0,1074.0,213.0,376.0,178.0,0,False,False,0,False,False
0 days 00:00:13.200000000,26,1,L,A,1.0,2.0,857.0,1070.0,213.0,389.0,173.0,0,False,False,0,False,False
0 days 00:00:13.400000000,26,1,L,A,1.0,2.0,850.0,1063.0,213.0,382.0,180.0,0,False,False,0,False,False
0 days 00:00:13.600000000,26,1,L,A,1.0,2.0,813.0,1026.0,211.0,355.0,178.0,0,False,False,0,False,False
0 days 00:00:13.800000000,26,1,L,A,1.0,2.0,784.0,997.0,210.0,351.0,171.0,0,False,False,0,False,False
0 days 00:00:14.000000000,26,1,L,A,1.0,2.0,785.0,998.0,210.0,362.0,173.0,0,False,False,0,False,False
0 days 00:00:14.200000000,26,1,L,A,1.0,2.0,774.0,987.0,209.0,335.0,170.0,0,False,False,0,False,False
0 days 00:00:14.400000000,26,1,L,A,1.0,2.0,762.0,975.0,209.0,336.0,168.0,0,False,False,0,False,False
0 days 00:00:14.600000000,26,1,L,A,1.0,2.0,789.0,1002.0,210.0,370.0,176.0,0,False,False,0,False,False
0 days 00:00:14.800000000,26,1,L,A,1.0,2.0,830.0,1043.0,213.0,374.0,175.0,0,False,False,0,False,False
0 days 00:00:15.000000000,26,1,L,A,1.0,2.0,866.0,1079.0,215.0,397.0,182.0,0,False,False,0,False,False
0 days 00:00:15.200000000,26,1,L,A,1.0,2.0,883.0,1096.0,216.0,401.0,171.0,0,False,False,0,False,False
0 days 00:00:15.400000000,26,1,L,A,1.0,2.0,861.0,1074.0,215.0,386.0,178.0,0,False,False,0,False,False
0 days 00:00:15.600000000,26,1,L,A,1.0,2.0,842.0,1055.0,214.0,377.0,176.0,0,False,False,0,False,False
0 days 00:00:15.800000000,26,1,L,A,1.0,2.0,894.0,1107.0,217.0,430.0,176.0,0,False,False,0,False,False
0 days 00:00:16.000000000,26,1,L,A,1.0,2.0,931.0,1144.0,219.0,405.0,180.0,0,False,False,0,False,False
0 days 00:00:16.200000000,26,1,L,A,1.0,2.0,921.0,1134.0,218.0,427.0,170.0,0,False,False,0,False,False
0 days 00:00:16.400000000,26,1,L,A,1.0,2.0,914.0,1127.0,217.0,400.0,171.0,0,False,False,0,False,False
0 days 00:00:16.600000000,26,1,L,A,1.0,2.0,876.0,1089.0,215.0,381.0,178.0,0,False,False,0,False,False
0 days 00:00:16.800000000,26,1,L,A,1.0,2.0,799.0,1012.0,212.0,330.0,158.0,0,False,False,0,False,False
0 days 00:00:17.000000000,26,1,L,A,1.0,2.0,761.0,974.0,210.0,344.0,170.0,0,False,False,0,False,False
0 days 00:00:17.200000000,26,1,L,A,1.0,2.0,800.0,1013.0,211.0,361.0,179.0,0,False,False,0,False,False
0 days 00:00:17.400000000,26,1,L,A,1.0,2.0,828.0,1041.0,213.0,365.0,176.0,0,False,False,0,False,False
0 days 00:00:17.600000000,26,1,L,A,1.0,2.0,854.0,1067.0,215.0,386.0,175.0,0,False,False,0,False,False
0 days 00:00:17.800000000,26,1,L,A,1.0,2.0,843.0,1056.0,214.0,355.0,184.0,0,False,False,0,False,False
0 days 00:00:18.000000000,26,1,L,A,1.0,2.0,805.0,1018.0,212.0,342.0,172.0,0,False,False,0,False,False
0 days 00:00:18.200000000,26,1,L,A,1.0,2.0,831.0,1044.0,213.0,388.0,163.0,0,False,False,0,False,False
0 days 00:00:18.400000000,26,1,L,A,1.0,2.0,906.0,1119.0,217.0,443.0,168.0,0,False,False,0,False,False
0 days 00:00:18.600000000,26,1,L,A,1.0,2.0,859.0,1072.0,214.0,338.0,175.0,0,False,False,0,False,False
0 days 00:00:18.800000000,26,1,L,A,1.0,2.0,766.0,979.0,209.0,333.0,166.0,0,False,False,0,False,False
0 days 00:00:19.000000000,26,1,L,A,1.0,2.0,778.0,991.0,210.0,351.0,176.0,0,False,False,0,False,False
