package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:00:00.000000000,26,2,R,C,1.0,2.0,1185.0,1546.0,101.0,443.0,168.0,1,True,False,0,False,False
0 days 00:00:00.200000000,26,2,R,C,1.0,2.0,1190.0,1551.0,101.0,440.0,178.0,0,False,False,0,False,False
0 days 00:00:00.400000000,26,2,R,C,1.0,2.0,1160.0,1521.0,101.0,415.0,173.0,0,False,False,0,False,False
0 days 00:00:00.600000000,26,2,R,C,1.0,2.0,1141.0,1502.0,99.0,422.0,161.0,0,False,False,0,False,False
0 days 00:00:00.800000000,26,2,R,C,1.0,2.0,1205.0,1566.0,103.0,506.0,175.0,0,False,False,0,False,False
0 days 00:00:01.000000000,26,2,R,C,1.0,2.0,1185.0,1546.0,102.0,401.0,159.0,0,False,False,0,False,False
0 days 00:00:01.200000000,26,2,R,C,1.0,2.0,1100.0,1461.0,97.0,427.0,169.0,0,False,False,0,False,False
0 days 00:00:01.400000000,26,2,R,C,1.0,2.0,1091.0,1452.0,96.0,397.0,161.0,0,False,False,0,False,False
0 days 00:00:01.600000000,26,2,R,C,1.0,2.0,1103.0,1464.0,97.0,427.0,180.0,0,False,False,0,False,False
0 days 00:00:01.800000000,26,2,R,C,1.0,2.0,1136.0,1497.0,99.0,451.0,175.0,0,False,False,0,False,False
0 days 00:00:02.000000000,26,2,R,C,1.0,2.0,1128.0,1489.0,98.0,428.0,173.0,0,False,False,0,False,False
0 days 00:00:02.200000000,26,2,R,C,1.0,2.0,1104.0,1465.0,97.0,416.0,172.0,0,False,False,0,False,False
0 days 00:00:02.400000000,26,2,R,C,1.0,2.0,1111.0,1472.0,98.0,440.0,169.0,0,False,False,0,False,False
0 days 00:00:02.600000000,26,2,R,C,1.0,2.0,1116.0,1477.0,98.0,424.0,167.0,0,False,False,0,False,False
0 days 00:00:02.800000000,26,2,R,C,1.0,2.0,1117.0,1478.0,98.0,420.0,173.0,0,False,False,0,False,False
