package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:00:00.000000000,26,1,R,C,1.0,2.0,1052.0,1561.0,282.0,467.0,181.0,1,True,False,0,False,False
0 days 00:00:00.200000000,26,1,R,C,1.0,2.0,1080.0,1589.0,284.0,521.0,178.0,0,False,False,0,False,False
0 days 00:00:00.400000000,26,1,R,C,1.0,2.0,1043.0,1552.0,283.0,429.0,180.0,0,False,False,0,False,False
0 days 00:00:00.600000000,26,1,R,C,1.0,2.0,962.0,1471.0,278.0,425.0,179.0,0,False,False,0,False,False
0 days 00:00:00.800000000,26,1,R,C,1.0,2.0,994.0,1503.0,279.0,469.0,182.0,0,False,False,0,False,False
0 days 00:00:01.000000000,26,1,R,C,1.0,2.0,1005.0,1514.0,280.0,437.0,182.0,0,False,False,0,False,False
0 days 00:00:01.200000000,26,1,R,C,1.0,2.0,1001.0,1510.0,280.0,459.0,191.0,0,False,False,0,False,False
0 days 00:00:01.400000000,26,1,R,C,1.0,2.0,1033.0,1542.0,281.0,489.0,180.0,0,False,False,0,False,False
0 days 00:00:01.600000000,26,1,R,C,1.0,2.0,1017.0,1526.0,281.0,454.0,174.0,0,False,False,0,False,False
0 days 00:00:01.800000000,26,1,R,C,1.0,2.0,994.0,1503.0,280.0,459.0,173.0,0,False,False,0,False,False
0 days 00:00:02.000000000,26,1,R,C,1.0,2.0,986.0,1495.0,279.0,459.0,182.0,0,False,False,0,False,False
0 days 00:00:02.200000000,26,1,R,C,1.0,2.0,956.0,1465.0,277.0,430.0,179.0,0,False,False,0,False,False
0 days 00:00:02.400000000,26,1,R,C,1.0,2.0,927.0,1436.0,276.0,412.0,172.0,0,False,False,0,False,False
0 days 00:00:02.600000000,26,1,R,C,1.0,2.0,904.0,1413.0,275.0,392.0,186.0,0,False,False,0,False,False
0 days 00:00:02.800000000,26,1,R,C,1.0,2.0,940.0,1449.0,277.0,455.0,176.0,0,False,False,0,False,False
0 days 00:00:03.000000000,26,1,R,C,1.0,2.0,946.0,1455.0,278.0,403.0,181.0,0,False,False,0,False,False
0 days 00:00:03.200000000,26,1,R,C,1.0,2.0,932.0,1441.0,276.0,453.0,172.0,0,False,False,0,False,False
0 days 00:00:03.400000000,26,1,R,C,1.0,2.0,948.0,1457.0,277.0,416.0,179.0,0,False,False,0,False,False
0 days 00:00:03.600000000,26,1,R,C,1.0,2.0,944.0,1453.0,277.0,416.0,182.0,0,False,False,0,False,False
0 days 00:00:03.800000000,26,1,R,C,1.0,2.0,940.0,1449.0,277.0,410.0,188.0,0,False,False,0,False,False
0 days 00:00:04.000000000,26,1,R,C,1.0,2.0,927.0,1436.0,276.0,411.0,175.0,0,False,False,0,False,False
0 days 00:00:04.200000000,26,1,R,C,1.0,2.0,956.0,1465.0,277.0,470.0,181.0,0,False,False,0,False,False
0 days 00:00:04.400000000,26,1,R,C,1.0,2.0,975.0,1484.0,279.0,446.0,179.0,0,False,False,0,False,False
0 days 00:00:04.600000000,26,1,R,C,1.0,2.0,963.0,1472.0,279.0,438.0,186.0,0,False,False,0,False,False
0 days 00:00:04.800000000,26,1,R,C,1.0,2.0,957.0,1466.0,278.0,432.0,186.0,0,False,False,0,False,False
0 days 00:00:05.000000000,26,1,R,C,1.0,2.0,934.0,1443.0,277.0,411.0,183.0,0,False,False,0,False,False
0 days 00:00:05.200000000,26,1,R,C,1.0,2.0,927.0,1436.0,276.0,424.0,184.0,0,False,False,0,False,False
0 days 00:00:05.400000000,26,1,R,C,1.0,2.0,1002.0,1511.0,280.0,503.0,178.0,0,False,False,0,False,False
